0,これまでの経験を保存したまま、人生が最新の状態へアップデートされる「新基盤」の年です。今後22年続く壮大な物語のプロローグにあたり、過去と同じことを繰り返さない新しいステージが静かに幕を開けます。未知の環境や文化、地域との接点が生まれ、成功者との出会いも訪れます。手助けしてくれる人と足を引っ張る人が混在し、未来に確証が持てず悩む場面もありますが、高い思想を持って見知らぬ人々を救う役割を担うようになります。※してはいけないこと：やり残したことへの後悔、急激なステップアップを望むこと、移動を焦ることは避けてください。また、知らない者への批判や弱者に対する区別も厳禁です。
1,人生のセカンドシーズンが本格的に始動する「プロジェクト始動」の年です。今後長く続く文化を形成するような、人生の大きな方針や大義を決定する時期となります。新たな人生のエンジンが始動し、独立や結婚、継承といった大きなテーマに挑戦する機会が訪れます。自分一人ではなく「誰がそれで幸せか」を追求し、まだ見ぬ世界への冒険や高い思想を持って種をたくさん蒔くことが大切です。すぐの成果を求めず、巡り合わせの人物からのきっかけを大切にしながら、未来の文化を作るための壮大なビジョンを描いてください。※してはいけないこと：特定の物事を深掘りしすぎることや、ひとつのことに固執して視野を狭めることは避けてください。
2,長い旅を続ける前に現状を振り返り、次なる飛躍に向けて土台を整える「受動的」な準備期間です。人生が加速する前段階として、フィルター掃除のように身の回りを整理する時期となります。やり残した事の後片付けや、仕事・環境の整理が中心となります。自分のためではなく他人のために時間を使う場面が増え、本望でない仕事も受け入れることになりますが、それが「深い根」へと変わります。仕組み作りや休息を大切にし、物事は少人数で秘密裏に進めるのが吉です。※してはいけないこと：多くの者への拡散、大きな投資、異性との不特定な交友は避けてください。また、物事の先延ばし、縁切り、金銭欲求を出すことも厳禁です。
3,前年に深く張った根が認められ、努力や忍耐が目に見える成果として報われる「繁栄と収穫」の年です。自分自身が大きな木へと成長し、周囲と協力して壮大な森を形成していくような、生命力あふれる時期となります。これまでの活動に結果が伴い、資本が潤うだけでなく、有能な後輩や仲間に恵まれチームを任されるようになります。成功、合格、合併、新たな誕生など、明るいニュースが重なり、お祝い事も増えるでしょう。人徳を広げながら仲間を育むことで、翌年のさらなる飛躍に向けた強固な基盤が整います。※してはいけないこと：豊かさを持たない者との会合に参加することや、古くからの繋がりを軽視し、蔑むような行為は避けてください。
4,人生をリノベーションし、消化不良なものを手放して生活に合わせたスタイルへ変化させる「君臨と組織」の年。世の中の仕組みを見据え、未来を創るための戦略を練る時期となります。自分の城を作る、創業する、代表を任されるといったリーダーシップを発揮する場面が増え、必然的に目立つ存在となります。古いものを新しいものへ変換し、低予算での成功や譲り受けた物の活用、断捨離と再建、組織形成などに奔走します。お金や権力の存在を見直し、仕事と遊びのメリハリをつけながら、子供の頃のような無邪気さを思い出す瞬間も訪れるでしょう。※してはいけないこと：資産を投じての創業、不協和音への攻撃、稼ぐことに徹した仕事への誘いに乗ること。また、仕事に集中しすぎることも避けてください。
5,これまでに経験したことのない、専門的で深い知識や教養を得る「知恵と伝授」の年です。得た知識は一生モノのツールとなり、将来的に自分が「先生」として人を導く立場になるための重要な教養となります。専門知識の習得や研究・開発が進み、言葉の力が強まることで商談や解決策の提示がスムーズになります。弁護士や教師、カリスマ性のある専門家など、尊敬できるメンターや「凄い人」との遭遇が増えるでしょう。また、人徳の増幅や評判の上昇、再会や入学といった出来事も起き、場所や人種を問わず成功を導く力を蓄える時期となります。※してはいけないこと：ウワサを鵜呑みにすることや低俗な思想に触れること、安定を求めること。また、人のために生きすぎたり、相談に乗りすぎたり、話術の巧みな者を安易に信じることも避けてください。
6,翌年の新たな道への開拓に向け、チーム編成や連携、絆を深める「連携とサポート」の重要な年です。一人ではなく、多くの人脈やクライアントと繋がり、現状を一層賑やかにしていく時期となります。取引先の拡大や計画の進行、人脈の拡散が起き、話が大きく膨らみます。ボランティアや無償の手助けを通じて新たなパイプが生まれ、同類との出会いや再会も増えるでしょう。また、恋愛においても絶好期であり、人が集まる場所や紹介が実を結びます。陰口を言われることもありますが、無視して共鳴するものとだけ未来を描くことで、調和の取れた環境が整います。※してはいけないこと：多すぎる恋人関係を持つこと、人気者であることを誇示すること、人脈の増加をアピールすることは避けてください。また、陰口の犯人を追及することも厳禁です。
7,過去を振り返らず、一直線に新たな道を開拓していく「直線と前進」の年です。急激な生活の変化が起き、転居や新しい職場など、生き方の方向性が確定するアクティブな時期となります。目の前の険しい道を、誰かの地図を頼りに猛スピードで駆け抜けます。財を増やし、技を得て自分の人生をブランド化する中で、多くの仕事量と迅速な決断が求められます。二足のわらじは履けず、持たずに飛び出す勇気も必要ですが、障害を乗り越え急に助けが入る運気もあります。ただし、迷子になるような白紙の地図を渡す環境からはすぐに離れてください。※してはいけないこと：物事を後回しにすることや、問い合わせを怠ること。デメリットばかり気にして安全牌を取ることや、自分の意見を述べないことは避けてください。
8,前年の猛スピードから一転し、立ち止まって時間とお金のバランスや人生の意義を冷静に見つめ直す「均衡と保持」の年。家の基礎となるコンクリートを固めるように、ゆっくりと確実に生き方のベースを作る時期となります。お金・人・時間の調整や、契約、組織の再構築、方針決定など基礎固めに適しています。国に絡む案件や増資などの機会もあり、自分の意見を押し通すのではなく、周囲の状況を踏まえてバランスの良いポイントを探りながら、時間をたっぷり使って物事を進めることが大切です。※してはいけないこと：素早い決断、計画を作らないこと、日々を淡々と過ごすこと、娯楽を増やすこと。また、敵を作ること、個人から借りること、自分の思想を貫くことは避けてください。
9,周囲がすぐ手に入る日常の幸せを求める中、自分だけがロマンチックな未来のプランを描き、現状に違和感を覚える「独創と展望」の年周囲がすぐ手に入る日常の幸せを求める中、自分だけがロマンチックな未来のプランを描き、現状に違和感を覚える「独創と展望」の年。周囲と距離を取りたくなり、遠い場所や独立した個人業を夢見るようになります。日常の反応に飽きがくるため、転居の準備や働き方の変化が起き、現実と理想という2つの世界観を持つことになります。今後の目標を語る相手は厳選し、本質は隠したまま静かに自分のペースで未来の物語を描いていく時期です。※してはいけないこと：ウワサ話を信じること、夢を見ず現実に生きること、遠方の人に気持ちを伝えないこと。また、殻に籠もることや、非現実的な思想のみに偏ることも避けてください。
